ticker,company_name_ko,company_name_en,exchange,sector,sub_sector
015760,한국전력,Korea Electric Power,KOSPI,Utilities,Electric Utilities
017670,SK텔레콤,SK Telecom,KOSPI,Communication Services,Telecom
032640,LG유플러스,LG Uplus,KOSPI,Communication Services,Telecom
032830,삼성생명,Samsung Life Insurance,KOSPI,Financial,Insurance
034730,SK,SK Inc.,KOSPI,Industrials,Conglomerate
035420,NAVER,NAVER,KOSPI,Communication Services,Internet Content
042660,한화오션,Hanwha Ocean,KOSPI,Industrials,Shipbuilding
047040,대우건설,Daewoo E&C,KOSPI,Industrials,Construction
047120,오르비텍,Orbitech,KOSDAQ,Industrials,Aerospace
047810,한국항공우주,Korea Aerospace Industries,KOSPI,Industrials,Aerospace & Defense
058470,리노공업,Leeno Industrial,KOSDAQ,Technology,Semiconductor Equipment
079550,LIG넥스원,LIG Nex1,KOSPI,Industrials,Defense
086790,하나금융지주,Hana Financial Group,KOSPI,Financial,Banks
100090,SK오션플랜트,SK Oceanplant,KOSPI,Industrials,Offshore
117700,KODEX 건설,KODEX Construction,KOSPI,ETF,Construction
119850,지엔씨에너지,GnC Energy,KOSDAQ,Utilities,Independent Power
125490,한라캐스트,Halla Cast,KOSDAQ,Industrials,Auto Parts
178320,서진시스템,Seojin System,KOSDAQ,Technology,Electronic Equipment
229640,LS에코에너지,LS Eco Energy,KOSPI,Industrials,Energy Equipment
298020,효성티앤씨,Hyosung TNC,KOSPI,Materials,Textiles
298040,효성중공업,Hyosung Heavy Industries,KOSPI,Industrials,Heavy Electrical
352820,하이브,HYBE,KOSPI,Communication Services,Entertainment
411060,ACE KRX금현물,ACE KRX Gold Spot,KOSPI,ETF,Commodities
449450,PLUS K방산,PLUS K-Defense,KOSPI,ETF,Defense
466100,클로봇,Clobot,KOSDAQ,Technology,Robotics
475150,SK이터닉스,SK Eternix,KOSPI,Industrials,Energy
